1071000 15 9
1072000 14 10
1073000 15 9
1074000 14 10
1075000 14 10
1076000 15 9
1077000 15 9
1078000 14 10
1079000 15 9
1080000 15 9
1081000 16 8
1082000 15 9
1083000 15 9
1084000 17 7
1085000 20 4
1086000 23 1
1087000 21 3
1088000 16 8
1089000 15 9
1090000 15 9
1091000 16 8
1092000 17 7
1093000 17 7
1094000 16 8
1095000 17 7
1096000 14 10
1097000 15 9
1098000 19 5
1099000 15 9
1100000 20 4
1101000 15 9
1102000 14 10
1103000 19 5
1104000 18 6
1105000 16 8
1106000 16 8
1107000 16 8
1108000 17 7
1109000 16 8
1110000 15 9
1111000 15 9
1112000 14 10
1113000 19 5
1114000 18 6
1115000 15 9
1116000 17 7
1117000 17 7
1118000 18 6
1119000 18 6
1120000 17 7
1121000 14 10
1122000 15 9
1123000 15 9
1124000 14 10
1125000 15 9
1126000 15 9
1127000 18 6
1128000 22 2
1129000 22 2
1130000 14 10
1131000 14 10
1132000 17 7
1133000 14 10
1134000 15 9
1135000 14 10
1136000 16 8
1137000 18 6
1138000 17 7
1139000 18 6
1140000 13 11
1141000 13 11
1142000 14 10
1143000 13 11
1144000 16 8
1145000 13 11
1146000 13 11
1147000 13 11
